simulation,scenario,country,basis,loss_usd
437,super_stress,PORTFOLIO,climate_increment,282529416.7952521
438,super_stress,PORTFOLIO,climate_increment,758349226.1237288
439,super_stress,PORTFOLIO,climate_increment,460123360.95301294
440,super_stress,PORTFOLIO,climate_increment,86836544.32931386
441,super_stress,PORTFOLIO,climate_increment,64422477.087455146
442,super_stress,PORTFOLIO,climate_increment,1234682462.1105242
443,super_stress,PORTFOLIO,climate_increment,727470982.1674038
444,super_stress,PORTFOLIO,climate_increment,610517123.2500688
445,super_stress,PORTFOLIO,climate_increment,662805757.6421586
446,super_stress,PORTFOLIO,climate_increment,82732735.74786845
447,super_stress,PORTFOLIO,climate_increment,238733908.50807554
448,super_stress,PORTFOLIO,climate_increment,141573934.52176547
449,super_stress,PORTFOLIO,climate_increment,192901894.2255674
450,super_stress,PORTFOLIO,climate_increment,491750949.3577291
451,super_stress,PORTFOLIO,climate_increment,710670618.440503
452,super_stress,PORTFOLIO,climate_increment,490777245.3863598
453,super_stress,PORTFOLIO,climate_increment,306320262.6598262
454,super_stress,PORTFOLIO,climate_increment,489480571.9022714
455,super_stress,PORTFOLIO,climate_increment,771620370.8739601
456,super_stress,PORTFOLIO,climate_increment,193476326.2083251
457,super_stress,PORTFOLIO,climate_increment,645317074.3690555
458,super_stress,PORTFOLIO,climate_increment,1091437195.1696153
459,super_stress,PORTFOLIO,climate_increment,708604652.110747
460,super_stress,PORTFOLIO,climate_increment,614266503.349114
